Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-100 G-50 PP-10 SM-1 MAX_STEP100 PC-1;10-4-12-7-2-9-5-11-13-8-1-14-6-3-15-10;81.01;86.245;[81.01-88.84]
CR-0 PN-100 G-50 PP-10 SM-1 MAX_STEP100 PC-2;8-5-13-11-9-3-2-6-7-12-15-4-10-14-1-8;65.13;77.8;[65.13-88.19]
CR-0 PN-100 G-50 PP-10 SM-1 MAX_STEP100 PC-3;4-7-2-12-3-9-6-15-14-8-1-13-11-5-10-4;75.9;79.55;[75.9-88.16]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-1;13-9-11-3-6-2-7-15-4-12-1-14-10-8-5-13;83.09;87.86;[83.09-90.06]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-2;1-13-5-11-8-14-10-4-3-6-15-2-12-7-9-1;79.75;88.595;[79.75-93.48]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-3;9-11-5-13-1-15-12-10-4-2-7-8-14-6-3-9;82.11;87.1125;[82.11-91.4]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-1;3-13-5-11-1-8-14-7-12-15-4-10-6-2-9-3;69.74;73.4025;[69.74-79.16]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-2;3-2-4-10-14-7-6-12-15-8-1-13-5-11-9-3;72.75;77.0125;[72.75-80.74]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-3;12-7-15-2-6-3-9-13-1-11-5-8-10-14-4-12;59.64;70.115;[59.64-78.15]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-1;4-15-7-12-2-6-3-9-11-1-5-13-8-14-10-4;53.52;64.8;[53.52-86.34]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-2;6-2-12-14-10-15-7-4-8-11-1-5-13-9-3-6;60.49;67.955;[60.49-73.08]
CR-0 PN-100 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-3;9-2-12-7-15-4-10-14-8-5-13-11-1-6-3-9;62.37;67.4775;[62.37-74.68]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-1;12-2-11-13-1-8-3-9-5-6-10-14-4-7-15-12;83.64;85.205;[83.64-88.87]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-2;8-15-7-14-10-4-2-12-9-6-3-1-5-13-11-8;78.33;84.045;[78.33-93.91]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-3;7-12-2-15-10-8-13-6-3-9-11-5-1-14-4-7;77.74;79.8025;[77.74-84]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-1;11-4-7-12-6-3-9-2-15-14-10-8-1-5-13-11;69.86;71.7625;[69.86-75.03]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-2;4-15-12-2-6-9-3-7-5-13-11-1-8-14-10-4;65.43;71.7475;[65.43-80.56]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-3;1-8-10-4-7-6-2-15-14-12-3-9-5-13-11-1;67.49;73.4475;[67.49-77.67]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-1;6-2-12-7-15-4-14-10-8-1-13-5-11-9-3-6;49.72;70.225;[49.72-78.4]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-2;15-2-12-6-3-9-13-1-8-11-5-10-14-4-7-15;67.77;76.47;[67.77-81.71]
CR-0 PN-100 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-3;13-2-12-7-15-4-10-14-1-11-8-6-3-9-5-13;70.85;75.4625;[70.85-83.98]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP10 PC-1;7-2-10-11-13-1-5-6-3-9-8-14-4-15-12-7;80.45;88.8625;[80.45-94.89]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP10 PC-2;4-2-6-12-14-8-1-13-11-9-3-5-10-7-15-4;79.85;87.0375;[79.85-93.32]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP10 PC-3;1-14-2-6-12-15-7-4-10-8-13-11-5-3-9-1;79.36;87.475;[79.36-92.28]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP50 PC-1;8-1-11-13-4-15-5-9-3-6-2-12-7-14-10-8;70.07;76.065;[70.07-83.74]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP50 PC-2;2-15-14-10-4-12-7-3-6-9-5-13-11-1-8-2;66.16;74.2125;[66.16-80.77]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP50 PC-3;7-15-10-2-6-3-9-5-13-11-1-8-14-4-12-7;52.65;71.905;[52.65-82.37]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP100 PC-1;6-3-8-9-13-5-11-1-4-14-10-15-12-7-2-6;74.18;76.8725;[74.18-80.06]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP100 PC-2;6-3-9-1-11-5-13-8-14-4-10-12-7-15-2-6;61.07;70.73;[61.07-80.02]
CR-0 PN-100 G-50 PP-50 SM-1 MAX_STEP100 PC-3;12-7-15-14-8-1-5-13-11-9-3-6-10-4-2-12;62.17;70.25;[62.17-78.94]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP10 PC-1;4-15-10-14-8-1-5-11-13-9-6-3-2-7-12-4;58.25;73.1725;[58.25-81.29]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP10 PC-2;2-14-12-7-15-4-10-1-5-11-8-13-9-3-6-2;72.53;79.6825;[72.53-84.15]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP10 PC-3;4-12-7-2-3-9-6-13-11-1-5-8-10-15-14-4;76.72;82.375;[76.72-92.06]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP50 PC-1;12-7-6-3-9-13-5-11-1-8-14-10-15-4-2-12;55.09;59.5775;[55.09-65.84]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP50 PC-2;12-2-6-3-9-5-11-1-13-8-10-14-15-4-7-12;54.95;61.25;[54.95-63.82]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP50 PC-3;2-15-10-14-7-12-4-8-13-5-11-1-9-3-6-2;64.75;69.0475;[64.75-72.91]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP100 PC-1;12-2-6-3-9-1-11-5-13-8-14-10-4-15-7-12;52.8;61.73;[52.8-65.86]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP100 PC-2;7-15-4-10-14-8-1-11-13-5-9-3-6-2-12-7;42.7;54.83;[42.7-64.49]
CR-0 PN-100 G-50 PP-50 SM-2 B-2 MAX_STEP100 PC-3;11-8-1-14-10-15-7-4-12-2-6-3-9-5-13-11;53.89;59.6275;[53.89-73.39]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP10 PC-1;2-7-12-15-10-14-4-8-1-11-13-5-9-3-6-2;50.97;63.7025;[50.97-72.54]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP10 PC-2;15-4-10-14-8-11-5-1-13-9-6-3-2-12-7-15;59.62;70.255;[59.62-75.21]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP10 PC-3;5-9-3-6-2-4-7-15-12-14-10-8-11-1-13-5;58.38;60.59;[58.38-62.64]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP50 PC-1;8-14-10-7-12-15-4-2-3-6-9-5-13-11-1-8;54.63;63.355;[54.63-76.01]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP50 PC-2;11-5-13-9-3-6-7-10-4-12-2-15-14-8-1-11;61.01;64.92;[61.01-68.57]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP50 PC-3;11-1-8-10-14-12-4-7-15-2-6-3-9-5-13-11;52.53;65.59;[52.53-77.21]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP100 PC-1;6-3-9-5-13-11-1-8-14-10-15-12-2-4-7-6;54.3;62.685;[54.3-69.46]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP100 PC-2;4-15-7-12-2-6-9-3-5-11-13-1-8-14-10-4;54.2;65.8375;[54.2-86.31]
CR-0 PN-100 G-50 PP-50 SM-2 B-20 MAX_STEP100 PC-3;13-1-11-8-14-4-15-10-7-12-2-6-3-9-5-13;54.64;66.1475;[54.64-80.91]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP10 PC-1;13-5-9-1-8-3-6-4-10-14-7-2-12-15-11-13;80.23;87.58;[80.23-94.59]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP10 PC-2;3-15-14-10-8-13-11-5-1-7-6-2-12-4-9-3;88.15;95.465;[88.15-101.54]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP10 PC-3;6-9-3-8-1-4-15-12-5-13-11-14-10-7-2-6;85.24;92.9475;[85.24-98.53]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP50 PC-1;3-6-9-11-5-13-14-10-1-8-4-7-12-15-2-3;74.76;86.4275;[74.76-99.07]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP50 PC-2;11-1-13-9-6-5-3-15-2-7-4-12-14-10-8-11;90.08;95.1275;[90.08-101.98]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP50 PC-3;5-6-3-2-14-10-7-4-15-12-9-8-13-1-11-5;84.52;89.54;[84.52-92.86]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP100 PC-1;1-4-8-14-12-7-15-9-3-6-2-10-11-13-5-1;84.47;93.915;[84.47-98.68]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP100 PC-2;10-14-8-7-9-11-1-13-5-6-3-2-15-12-4-10;80.75;88.0325;[80.75-93.53]
CR-0 PN-100 G-100 PP-5 SM-1 MAX_STEP100 PC-3;2-14-10-8-1-11-5-13-9-3-6-4-7-15-12-2;59.62;82.44;[59.62-93.89]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-1;12-4-2-11-5-13-9-1-8-14-10-7-3-6-15-12;83.78;91.0725;[83.78-100.34]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4-8-1-11-12-7-14-2-6-3-9-13-5-10-15-4;80.64;88.4;[80.64-97.55]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-3;10-15-12-2-6-9-8-14-5-13-1-11-3-4-7-10;88.2;94.2325;[88.2-97.4]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-1;6-2-4-14-7-15-10-12-8-1-13-11-5-9-3-6;64.32;81.845;[64.32-101.5]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-2;15-2-6-3-9-14-10-8-1-5-13-11-12-7-4-15;68.34;79.2025;[68.34-92.19]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-3;12-3-6-2-9-11-1-4-15-14-8-13-5-10-7-12;86.85;87.925;[86.85-90.41]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-1;9-3-6-10-14-4-15-7-2-12-8-1-11-13-5-9;58.24;77.9375;[58.24-104.28]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-2;5-9-3-6-14-13-1-7-4-12-2-10-15-8-11-5;90.7;93.3775;[90.7-96.63]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-3;14-8-9-3-6-11-1-13-5-10-15-4-2-12-7-14;79.79;84.8425;[79.79-92.03]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-1;9-5-3-6-4-12-10-14-7-2-15-8-1-11-13-9;76.67;88.775;[76.67-96.71]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4-12-5-1-11-9-13-3-6-2-8-14-10-7-15-4;83.9;93.045;[83.9-97.7]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP10 PC-3;15-10-11-5-4-14-12-2-3-9-13-1-8-6-7-15;92.45;94.1625;[92.45-95.99]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4-10-7-12-8-1-14-11-13-5-9-6-3-15-2-4;82.57;87.13;[82.57-94.99]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-2;5-3-9-6-2-12-7-14-11-8-4-15-10-1-13-5;80.86;87.5025;[80.86-95.51]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP50 PC-3;11-5-13-9-7-4-14-10-2-3-6-12-15-8-1-11;73.11;76.735;[73.11-85.14]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3-9-2-1-5-13-11-7-10-14-8-4-15-12-6-3;82.2;90.83;[82.2-96.38]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-2;13-11-1-8-2-15-7-12-14-10-4-3-6-9-5-13;66.82;77.2225;[66.82-93.56]
CR-0 PN-100 G-100 PP-5 SM-2 B-2 MAX_STEP100 PC-3;13-11-10-4-7-15-12-14-8-1-9-3-2-6-5-13;75.46;81.5125;[75.46-89.81]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP10 PC-1;7-12-8-14-11-5-13-1-15-10-4-3-9-6-2-7;84.84;90.1275;[84.84-96.26]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP10 PC-2;9-1-13-5-11-8-4-14-7-15-12-6-3-2-10-9;83.22;91.1575;[83.22-97.59]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP10 PC-3;3-13-5-11-14-10-15-12-2-4-6-7-8-1-9-3;87.67;93.29;[87.67-96.14]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP50 PC-1;10-15-7-4-13-5-9-11-1-8-14-3-6-12-2-10;79.97;89.1625;[79.97-97.63]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP50 PC-2;4-10-2-6-9-3-15-7-11-13-5-1-8-14-12-4;78.78;86.61;[78.78-92.23]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP50 PC-3;8-13-5-2-7-10-12-4-14-15-6-3-9-11-1-8;79;84.7875;[79-96.73]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP100 PC-1;5-3-9-6-2-10-14-7-15-4-12-8-11-1-13-5;72.15;76.885;[72.15-80.81]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP100 PC-2;10-15-7-12-2-9-3-6-4-1-11-5-13-8-14-10;68.48;80.0225;[68.48-89.5]
CR-0 PN-100 G-100 PP-10 SM-1 MAX_STEP100 PC-3;3-12-7-4-10-14-2-15-1-5-13-11-8-9-6-3;80;84.49;[80-90.19]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP10 PC-1;8-11-5-13-1-9-6-12-7-15-2-3-10-4-14-8;77.67;81.7;[77.67-85.8]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP10 PC-2;11-14-12-7-15-4-10-3-6-2-9-5-13-8-1-11;75.35;85.2975;[75.35-91.77]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP10 PC-3;6-3-12-2-7-4-14-15-10-8-11-13-5-1-9-6;71.56;80.0875;[71.56-91.8]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP50 PC-1;1-11-13-5-6-3-9-2-12-7-10-15-14-4-8-1;66.97;79.065;[66.97-83.28]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP50 PC-2;10-14-8-11-5-9-13-1-3-7-12-6-2-15-4-10;77.68;82.3725;[77.68-89.14]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP50 PC-3;4-15-10-14-1-11-8-5-13-9-3-2-6-12-7-4;67.91;71.4275;[67.91-75.08]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP100 PC-1;13-11-1-8-14-10-15-4-2-3-9-6-12-7-5-13;67.75;74.8275;[67.75-80.83]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP100 PC-2;14-10-7-4-12-15-6-2-9-3-13-5-11-1-8-14;68.46;80.52;[68.46-86.72]
CR-0 PN-100 G-100 PP-10 SM-2 B-2 MAX_STEP100 PC-3;10-4-8-1-11-5-13-9-3-6-2-7-15-12-14-10;55.26;74.095;[55.26-86.03]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP10 PC-1;1-8-14-10-4-7-12-15-11-5-6-2-3-9-13-1;73.36;86.055;[73.36-104.2]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP10 PC-2;4-15-10-14-8-1-13-9-5-11-3-6-2-7-12-4;62.87;76.5975;[62.87-92.32]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP10 PC-3;6-14-10-7-12-4-15-2-3-1-8-11-13-5-9-6;75.14;82.9475;[75.14-87.55]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP50 PC-1;1-5-11-13-9-3-6-2-10-7-15-8-14-12-4-1;75.66;79.2775;[75.66-88.14]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP50 PC-2;14-9-3-6-12-7-2-15-4-10-13-11-5-1-8-14;73.01;76.4725;[73.01-79.47]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP50 PC-3;11-9-3-6-2-4-7-14-15-12-10-8-1-5-13-11;63.59;75.8875;[63.59-91.91]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP100 PC-1;3-6-2-15-7-4-12-11-1-8-14-10-13-5-9-3;69.36;76.44;[69.36-79.78]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP100 PC-2;11-1-8-7-10-14-15-4-3-2-6-12-9-5-13-11;76.85;81.98;[76.85-85.66]
CR-0 PN-100 G-100 PP-10 SM-2 B-4 MAX_STEP100 PC-3;9-10-14-8-1-5-13-11-6-15-7-12-4-2-3-9;77.45;83.115;[77.45-89.12]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP10 PC-1;5-1-8-10-12-2-7-6-15-4-14-3-9-11-13-5;77.78;85.81;[77.78-93.23]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP10 PC-2;13-11-8-2-12-4-10-15-7-6-3-9-1-14-5-13;81.62;85.8025;[81.62-89.88]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP10 PC-3;5-8-12-10-14-7-4-15-6-2-3-9-13-1-11-5;75.98;81.3475;[75.98-85.52]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP50 PC-1;12-2-6-3-5-13-11-9-15-4-14-1-8-10-7-12;72.63;76.97;[72.63-83.01]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP50 PC-2;14-8-1-10-4-15-12-2-7-6-3-9-13-5-11-14;69.16;78.1;[69.16-84.42]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP50 PC-3;5-13-11-1-9-3-6-2-7-10-12-4-15-14-8-5;64.8;77.165;[64.8-91.74]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP100 PC-1;2-12-7-15-4-10-14-5-6-3-9-13-11-1-8-2;69.62;74.3475;[69.62-81.1]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP100 PC-2;3-9-2-1-11-13-5-8-14-10-4-7-15-12-6-3;67.68;72.2625;[67.68-77.69]
CR-0 PN-100 G-100 PP-50 SM-1 MAX_STEP100 PC-3;5-11-1-8-4-2-14-10-12-15-7-3-6-9-13-5;71.54;73.9625;[71.54-77.34]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP10 PC-1;13-11-1-5-3-9-6-12-2-15-4-7-14-10-8-13;70.84;75.23;[70.84-81.65]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP10 PC-2;15-14-8-11-5-9-3-6-13-1-10-7-12-2-4-15;74.48;77.9675;[74.48-80.83]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP10 PC-3;12-4-15-3-9-11-5-13-8-1-10-14-7-6-2-12;75.12;78.78;[75.12-81.61]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP50 PC-1;10-4-15-2-12-7-6-3-9-13-5-11-1-8-14-10;53.26;57.215;[53.26-65.45]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP50 PC-2;15-7-12-2-6-3-9-13-5-11-1-8-14-10-4-15;45.32;59.9825;[45.32-69.28]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP50 PC-3;10-4-15-7-12-2-6-3-9-11-5-13-1-14-8-10;57.2;63.6575;[57.2-67.69]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP100 PC-1;5-9-3-6-2-12-7-15-4-10-14-8-13-11-1-5;51.06;53.805;[51.06-58.17]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP100 PC-2;12-7-15-4-10-14-8-1-13-5-11-9-3-6-2-12;47.89;59.99;[47.89-68.5]
CR-0 PN-100 G-100 PP-50 SM-2 B-2 MAX_STEP100 PC-3;2-6-3-9-1-11-13-5-8-14-10-4-7-15-12-2;54.37;64.86;[54.37-69.4]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP10 PC-1;12-7-2-3-6-9-5-13-11-1-8-14-15-4-10-12;56.9;61.98;[56.9-65.98]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP10 PC-2;7-15-4-14-10-8-13-5-11-1-9-3-6-2-12-7;54.63;66.3925;[54.63-77.5]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP10 PC-3;15-4-10-12-2-6-3-9-11-5-13-1-8-14-7-15;55.58;65.105;[55.58-72.64]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP50 PC-1;6-2-12-14-4-15-7-10-8-1-11-13-5-9-3-6;52.2;62.5075;[52.2-77.27]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP50 PC-2;1-5-13-11-9-3-6-2-7-12-4-10-14-15-8-1;57.94;71.7275;[57.94-89.54]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP50 PC-3;14-10-8-1-11-13-5-9-3-6-2-7-12-15-4-14;47.18;58.7675;[47.18-66.75]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP100 PC-1;9-3-6-10-4-15-2-7-12-14-8-1-13-11-5-9;62.43;72.125;[62.43-86.2]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP100 PC-2;14-15-7-4-8-11-1-5-13-9-3-6-2-12-10-14;60.51;65.5;[60.51-76.47]
CR-0 PN-100 G-100 PP-50 SM-2 B-20 MAX_STEP100 PC-3;8-11-13-5-9-3-6-14-15-7-12-2-4-10-1-8;65.87;69.775;[65.87-78.19]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;11-9-3-7-2-12-4-10-15-1-6-8-14-13-5-11;98.85;107.278;[98.85-113.73]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;11-9-1-5-3-8-15-12-2-6-4-7-10-14-13-11;96.04;107.92;[96.04-120.93]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;15-4-7-6-11-9-3-8-1-2-12-14-10-13-5-15;105.99;110.558;[105.99-114.86]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-1;12-10-14-8-4-1-11-13-5-6-7-15-9-3-2-12;84.3;104.572;[84.3-116.39]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-2;1-11-5-9-12-15-10-4-6-13-7-3-2-14-8-1;102.05;105.57;[102.05-109.23]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-3;7-4-10-2-6-1-14-15-12-3-9-11-5-13-8-7;89.13;102.097;[89.13-110.47]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-1;15-7-3-9-5-11-6-2-4-1-8-13-14-10-12-15;91.19;100.685;[91.19-114.08]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;8-11-5-9-1-14-4-15-7-6-13-3-2-12-10-8;92.85;107.843;[92.85-117.84]
CR-1 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;8-15-12-3-9-13-11-14-5-1-4-7-6-2-10-8;100.72;106.04;[100.72-111.12]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3-9-1-6-10-14-4-8-11-13-5-2-7-15-12-3;92.04;103.812;[92.04-119.12]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2-12-8-5-11-3-9-13-1-4-15-7-6-10-14-2;94.69;106.37;[94.69-113.44]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;6-5-8-1-11-9-13-12-15-3-10-14-4-7-2-6;97.43;104.975;[97.43-111.82]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2-6-3-9-5-13-11-8-14-4-15-1-10-7-12-2;66.04;92.7425;[66.04-102.63]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4-15-2-11-12-3-6-7-10-5-9-13-1-8-14-4;100.1;103.668;[100.1-113.17]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;6-2-12-4-15-7-9-5-13-1-3-10-14-11-8-6;95.03;96.95;[95.03-99.31]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2-12-6-9-3-10-4-14-8-7-15-1-11-13-5-2;85.88;96.7575;[85.88-105.95]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;5-4-14-1-8-10-7-12-3-15-2-6-9-11-13-5;88.24;95.58;[88.24-99.95]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3-6-2-12-7-4-15-10-8-14-13-1-5-9-11-3;76.67;86.31;[76.67-103.78]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;15-8-5-9-13-1-11-12-2-6-10-7-14-3-4-15;103.77;109.807;[103.77-120.26]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3-5-1-14-4-7-12-15-2-11-8-10-9-13-6-3;101.43;107.797;[101.43-118.41]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;14-1-8-5-9-15-3-6-2-7-12-4-11-13-10-14;94.2;103.395;[94.2-108.62]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3-6-9-5-13-12-2-7-15-10-8-14-4-1-11-3;82.6;96.1125;[82.6-109.8]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;11-5-9-1-14-12-6-8-10-4-15-7-2-3-13-11;88.25;97.95;[88.25-108.59]
CR-1 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;13-5-11-12-7-9-14-10-15-6-3-2-4-8-1-13;90.54;95.91;[90.54-101.97]
